match_id,team,start_minute,end_minute,pass_count,score_context,phase_context,intensity_context,density,clustering_coefficient,avg_betweenness_centrality,avg_eigenvector_centrality,avg_path_length,centralization
3773552,Barcelona,15,25,97,tied,early,low,0.047619047619047616,0.026855588897100574,0.045810759784607295,0.10577034773046098,4.576190476190476,0.11904761904761904
3773552,Huesca,15,25,27,tied,early,low,0.02040816326530612,0.006802721088435374,0.02349290780141844,0.12350031904147028,4.8578947368421055,0.06292517006802721
3773552,Barcelona,20,30,114,tied,early,medium,0.05187074829931973,0.035185614430433436,0.03377599266657017,0.1038487374156466,4.1856060606060606,0.13562925170068027
3773552,Huesca,20,30,29,tied,early,low,0.023809523809523808,0.044623970575728276,0.036157548125633224,0.10359669347161339,4.550769230769231,0.08035714285714285
3773552,Barcelona,25,35,103,tied,early,medium,0.047619047619047616,0.03909590402014787,0.01949630916196266,0.10171203613771324,3.4126984126984126,0.1607142857142857
3773552,Huesca,25,35,50,tied,early,low,0.036564625850340135,0.04195281569413422,0.02804866036249015,0.1490773719091291,3.282758620689655,0.13010204081632654
3773552,Barcelona,30,40,78,tied,middle,low,0.04081632653061224,0.055728534850487496,0.030061502659574465,0.11661974015262,3.629032258064516,0.18835034013605442
3773552,Huesca,30,40,51,tied,middle,low,0.03316326530612245,0.007904114026563006,0.03565220414406898,0.09504416638556246,4.489655172413793,0.11267006802721087
3773552,Barcelona,35,45,58,tied,middle,low,0.03316326530612245,0.032173990127690906,0.027763002364066192,0.10943100589036041,3.574074074074074,0.17517006802721086
3773552,Huesca,35,45,49,tied,middle,low,0.034013605442176874,0.017377266112156717,0.029530306015235097,0.09249437005711976,4.027093596059113,0.09098639455782313
3773552,Barcelona,40,50,86,tied,middle,low,0.05357142857142857,0.05051793128639201,0.05173824826916582,0.07621012982636746,4.2846153846153845,0.11309523809523808
3773552,Huesca,40,50,36,tied,middle,low,0.02465986394557823,0.03899755630626988,0.018402539464653395,0.08691633320887777,4.410526315789474,0.07950680272108843
3773552,Barcelona,45,55,125,tied,middle,medium,0.061224489795918366,0.04658360448550913,0.04859525456956697,0.08656353311344542,4.556097560975609,0.14710884353741494
3773552,Huesca,45,55,30,tied,middle,low,0.011904761904761904,0.0,0.0017263904441955954,0.09209100200163821,5.619047619047619,0.050595238095238096
3773552,Barcelona,50,60,95,tied,middle,low,0.04846938775510204,0.05090576618907444,0.042568596431978294,0.09843981625854012,4.435277382645804,0.13903061224489796
